CASE_REF,ISN,APPLICANT_USER_ID,APPLICANT_NAME,PERMIT_CATEGORY,FEE_AMOUNT,LAST_UPDATED,FEE_PAID,VT_1_DATE,VT_1_RESULT,VT_2_DATE,VT_2_RESULT,VT_3_DATE,VT_3_RESULT,RESTR_1,RESTR_2,RESTR_3,ISSUED,EXPIRED,DATE_COMPLETED
LP-2026-000001,8891,K.TAMM,Kadri Tamm,B,42.00,2026-08-01,FALSE,,,,,,,,,,,,
LP-2026-000002,8892,M.SAAR,Mihkel Saar,B,42.00,2026-06-10,FALSE,2026-05-02,FAIL,2026-06-10,PASS,,,B,,,,,
LP-2026-000003,8893,A.LEPP,Anu Lepp,C,58.00,2026-07-05,TRUE,2026-07-01,PASS,,,,,,,,,,
LP-2026-000004,8894,T.KASK,Tiit Kask,B,42.00,2026-04-20,TRUE,2026-03-30,PASS,,,,,,,,2026-04-18,2031-04-18,2026-04-20
LP-2026-000005,8895,L.MAGI,Liis Magi,B,42.00,2026-01-10,TRUE,2025-12-20,PASS,,,,,,,,2026-01-10,,
LP-2021-000006,8896,P.OJA,Peeter Oja,B,38.00,2021-03-04,TRUE,2021-02-11,PASS,,,,,,,,2021-03-04,2024-03-04,
LP-2026-000007,8897,R.KUUSK,Riina Kuusk,B,42.00,2026-05-20,FALSE,2026-05-20,FAIL,,,,,,,,,,
LP-2025-000008,8898,J.RAND,Jaan Rand,B,40.00,2025-11-02,FALSE,,,,,,,,,,,,
LP-2026-000009,8899,S.PUUR,Siiri Puur,B,42.00,2026-08-12,TRUE,,,,,,,,,,,,
LP-2026-000010,8900,V.ILVES,Vello Ilves,B,42.00,2026-02-01,FALSE,,,,,,,,,,,2026-02-01,
LP-2026-000011,8901,E.TOOM,Eva Toom,B,42.00,,FALSE,,,,,,,,,,,,
,8902,H.LIIV,Heli Liiv,B,42.00,2026-08-05,FALSE,,,,,,,,,,,,
LP-2026-000013,8903,O.NURM,Olev Nurm,,58.00,2026-08-20,TRUE,2026-08-14,PASS,,,,,,,,,
